(find c/textseg_sizes | xargs cat),   (find c/instruction_counts | xargs cat)
file8893,24
file8890,1686
file8883,259
file8885,278
file10410,111
file10405,1209
file8882,278
file9239,1077
file9234,457
file8881,246
file10417,1113
file9069,608
file10411,940
file10407,981
file10408,212
file9064,281
file9056,129
file9233,927
file9232,1200
file9240,2043
file8899,1426
file9250,1358
file9074,1030
file9230,1025
file9090,1729
file9206,197
file8894,338
file9216,78
file9044,292
file9082,419
file9075,775
file9057,1234
file9215,324
file10422,973
file9223,1030
file9059,1144
file9093,279
file10401,1397
file9080,275
file9213,1744
file9062,556
file9052,907
file10433,0
file9222,2662
file9225,913
file9087,2246
file9067,508
file8905,1367
file9224,859
file9253,16389
file8907,128
file9236,458
file10402,2514
file10416,753
file8901,1645
file9235,4824
file10403,1217
file9247,806
file8897,3193
file9103,2630
file8887,1736
file9084,746
file9063,804
file9252,2165
file9205,1016
file8891,1698
file9065,1117
file9227,896
file9241,113
file9204,339
file9244,1282
file9095,1299
file9257,97
file10435,890
file10418,2045
file9203,1569
file9238,2199
file9088,1355
file9048,3425
file8892,2461
file9263,3920
file9248,2650
file9047,4079
file9076,1076
file9256,2826
file8886,7124
file9237,3681
file9092,1882
file9098,241
file9226,5298
file9085,1501
file10409,2029
file9220,3551
file9264,4736
file9045,1249
file9099,1629
file8884,4776
file9066,2732
file9061,4469
file9243,452
file8898,1684
file8900,572
file9259,1433
file10415,2834
file9053,3200
file9091,335
file9254,311
file8902,1314
file10413,1903
file9228,2024
file9251,2886
file9201,4576
file9089,932
file9261,3259
file10424,1619
file9101,4739
file10419,2905
file9258,1391
file9083,2646
file8895,5195
file9077,2656
file8911,136
file10423,3012
file9104,2414
file8909,85
file8910,607
file10439,71
file9086,5206
file8896,4619
file9209,4981
file9096,6067
file8903,2103
file9100,2052
file9070,2775
file8916,373
file9102,1941
file10421,4623
file9207,3567
file9210,4229
file9255,8133
file9049,7161
file9043,4814
file8908,195
file9260,4870
file10404,5938
file9071,2915
file9081,1461
file9079,2889
file9245,5943
file8904,2728
file9202,3150
file8914,1403
file9229,24455
file10437,3295
file9097,6687
file9046,8707
file10438,2505
file8920,638
file9042,5342
file9218,17508
file8913,580
file10432,4920
file9073,5973
file9219,5159
file8888,18270
file9246,21704
file8918,10124
file10444,1107
file9211,7539
file9249,9239
file10406,9627
file8921,86
file8919,628
file8915,154324
file9262,7142
file10441,2142
file9050,4959
file8922,2492
file9221,8760
file10446,765
file9058,13021
file9208,21963
file10426,7523
file9217,11217
file10434,5750
file9212,22315
file9041,22591
file8926,4540
file10442,1546
file8923,2734
file8924,3869
file9072,14941
file9231,15177
file8917,8106
file9055,32384
file10443,1077
file9051,18856
file10448,4813
file10449,2673
file10440,7564
file9121,616
file10414,18712
file8906,8013
file8925,2577
file9127,260
file8929,657
file9135,204
file9136,352
file10445,4165
file9265,1263
file10454,1797
file9269,739
file10431,17706
file9129,399
file9125,137
file9214,38344
file9131,709
file9270,1298
file10453,6238
file9144,3215
file8928,2082
file9123,1487
file9134,948
file9138,259
file9279,16017
file9267,1909
file9021,451
file9268,755
file9275,4181
file9277,3949
file9266,6464
file9005,249
file8927,4580
file9274,2832
file9060,74411
file9146,472
file9272,3051
file9094,33479
file9276,177
file9271,2305
file9017,90
file9273,6560
file9160,146
file9152,819
file10430,45749
file9018,71
file9142,693
file9112,3191
file10447,17858
file9107,1469
file9154,382
file9177,1256
file10412,19017
file10455,1421
file8942,257
file9001,509
file9011,1717
file9280,7822
file9122,2149
file8972,2650
file8940,62
file9124,1505
file10451,2093
file9003,1107
file9140,1515
file9130,1897
file8974,550
file8932,853
file9115,446
file10428,24406
file10452,11341
file8935,925
file9132,1057
file9149,311
file8931,618
file9119,667
file9110,917
file9106,3611
file9151,204
file8934,627
file9022,261
file9116,1999
file8937,3161
file9278,14693
file8968,793
file9105,2357
file9114,3233
file9109,1413
file8967,301
file9153,1487
file10456,463
file9008,143
file8979,582
file9113,3440
file9183,2798
file8969,280
file9182,4288
file9170,380
file8989,580
file9174,562
file9120,4225
file9166,637
file9118,3479
file9020,778
file8966,127
file9137,2774
file9117,2275
file9167,1407
file8986,720
file8938,2634
file8978,1247
file9175,445
file8943,778
file9015,605
file8985,2036
file8970,1916
file9145,1596
file9162,1058
file8992,2887
file8944,211
file9139,5583
file11042,496
file8936,2059
file10460,2405
file9165,1776
file10462,445
file9000,203
file9163,1608
file11048,2447
file8973,3142
file9024,4802
file10420,26554
file9159,1809
file9180,3963
file9150,1000
file8997,11062
file9178,4297
file9173,3169
file8987,555
file9147,4829
file8977,1991
file8976,311
file9181,581
file9184,1722
file9179,2523
file8941,2848
file9012,1158
file9007,6391
file9148,6631
file9013,2147
file9068,51085
file8939,3604
file8964,2807
file10465,4878
file8950,3584
file10467,1449
file11041,530
file8965,6249
file11047,2107
file9242,75631
file9172,11494
file10463,267
file8988,980
file8993,11934
file9161,5784
file8933,6378
file8999,1369
file9143,8190
file8984,1279
file10464,1715
file9006,2959
file8945,1842
file9108,39864
file10457,2339
file9009,1129
file10458,833
file8961,2697
file11050,1153
file8982,3690
file8952,2141
file8996,2071
file8954,4475
file9141,21772
file10459,2132
file11051,493
file9171,113575
file8991,999
file8990,11499
file8946,2482
file8998,13429
file8949,2064
file8957,6659
file9158,15504
file8962,7570
file11055,1879
file9176,11887
file11053,457
file11045,1886
file9111,38509
file11057,464
file8947,8841
file8930,20111
file8955,2246
file8948,8300
file11052,4382
file8975,5155
file10473,3006
file9010,11378
file8958,4257
file8953,1343
file10461,4127
file8959,763
file11056,7958
file8994,4944
file9014,10278
file8995,18629
file8983,11290
file8980,7508
file8960,2505
file9128,11351
file11046,1747
file10470,4242
file11054,1596
file9157,25643
file9023,6431
file11060,1100
file9004,7928
file11043,2954
file10474,609
file10450,23536
file11058,2142
file10469,1831
file10479,1842
file8963,75795
file8951,20162
file11061,647
file10478,896
file10425,34256
file10477,951
file10480,2111
file9019,29629
file10471,4360
file11059,2025
file10475,3647
file11065,292
file9189,1222
file11066,455
file11075,976
file11073,453
file10468,17693
file9002,22537
file11074,829
file11068,950
file11044,9812
file11062,3335
file11069,91
file10429,58695
file9025,1372
file11079,725
file11070,10259
file8956,40061
file9126,41709
file9030,574
file11076,191
file11067,4443
file11063,6476
file11078,161
file9026,1483
file9187,908
file11082,1072
file11072,10291
file9186,2915
file9033,1390
file9034,721
file11087,965
file9192,842
file9190,1141
file11084,1902
file9031,1016
file11080,546
file11081,17986
file9191,2194
file11083,198
file9193,4530
file8889,124657
file9164,26364
file9188,3555
file9035,620
file11077,4581
file9197,13974
file9198,1773
file9038,2357
file9027,5027
file9185,4128
file9029,6545
file9039,1041
file11086,644
file9037,3106
file8971,34532
file9040,5717
file9195,4071
file9028,7501
file11089,934
file9200,7654
file9032,8120
file9016,60133
file9199,3702
file11090,272
file9194,11209
file9169,39654
file8981,49536
file11085,6253
file9133,66434
file10476,52155
file11091,510
file9078,164168
file11071,23727
file9155,56540
file11097,5867
file9036,22799
file9168,75349
file11088,7276
file11099,191
file9054,137061
file11096,887
file11092,5136
file11098,1141
file11095,2858
file8912,332804
file11064,80776
file11104,1601
file11094,13995
file11111,362
file11103,2313
file11100,4038
file11108,2193
file11110,1319
file11112,1084
file11105,1633
file11109,842
file11116,1239
file9196,62039
file11115,1207
file11093,37039
file11120,1358
file11922,666
file11101,6392
file11923,1614
file11117,4153
file11119,4458
file11113,5843
file11102,14617
file11118,9860
file11935,2060
file11106,12222
file10472,139859
file11929,490
file11927,338
file11926,103
file10466,120398
file11114,24180
file11936,1870
file11107,17841
file11941,53
file11928,556
file11938,786
file11925,484
file11940,547
file11942,2766
file11937,2849
file9156,159225
file11946,640
file11921,2687
file11943,2136
file11953,66
file11951,252
file11945,758
file11950,4519
file11947,1052
file11949,2302
file11944,2947
file11939,4742
file11930,13220
file11961,2746
file11956,4648
file11960,1112
file11958,2246
file11924,14410
file11965,4230
file11962,1551
file11964,1650
file11049,94579
file11966,204
file11959,2013
file11933,17995
file11952,4290
file11967,4410
file11963,4093
file11957,11056
file11968,1858
file11954,8275
file11934,21955
file11970,2005
file11948,15414
file11973,53
file11972,1661
file11971,758
file11980,479
file11955,44342
file11976,2011
file11974,406
file11977,3204
file11981,331
file11969,5475
file11984,2033
file11985,1614
file11975,4888
file11983,1866
file11982,145
file11979,4506
file11988,1161
file11987,763
file11978,2646
file11995,1631
file11990,5343
file11991,3412
file11992,430
file11989,1134
file11993,2246
file11994,3199
file11996,1667
file11986,8145
file11997,882
file11998,981
file12000,2440
file11999,3118
file12884,426
file12886,3223
file12804,1033
file11931,75835
file12885,298
file12900,11068
file12838,152
file12806,924
file12895,1182
file12892,1063
file12813,2097
file12911,671
file12905,419
file12831,162
file12834,1153
file12821,2030
file12896,3057
file12726,49
file12910,1309
file12801,1105
file12887,2906
file12941,704
file12826,2181
file12846,524
file12823,464
file12912,171
file12919,679
file12893,530
file12825,6701
file12907,3709
file12889,1999
file12827,698
file12918,765
file12805,156
file12841,426
file12906,2253
file12881,2044
file12809,2332
file12803,3091
file12929,90
file12913,1130
file12832,410
file12890,767
file12936,272
file12930,842
file12856,1375
file12849,209
file12935,534
file12917,1164
file12824,461
file12722,1780
file12833,6441
file12820,257
file12815,1476
file12840,341
file12898,555
file12909,10076
file12942,53
file12728,98
file12922,1380
file12914,1008
file12928,321
file12730,1278
file12848,765
file12721,1303
file12925,350
file11932,110381
file12858,127
file12921,1567
file12931,2589
file12883,1077
file12822,498
file12897,2636
file12807,2121
file12933,2609
file12940,275
file12819,3207
file12923,3327
file12916,3508
file12924,2187
file12915,2999
file12882,9393
file12811,978
file12850,1074
file12842,853
file12729,1290
file12904,2059
file12938,1561
file12939,3921
file12854,279
file12857,3698
file12855,1178
file12852,1081
file12837,20518
file12731,6001
file12932,1715
file12743,758
file12944,3525
file12844,2102
file12734,156
file12740,1141
file12927,6232
file12888,2972
file12926,4890
file12847,5297
file12732,1612
file12817,3572
file12943,3859
file12860,2846
file12828,3608
file12861,1303
file12934,2718
file12920,7109
file12937,3451
file12724,1815
file12736,4671
file12903,14869
file12908,12186
file12894,8975
file12816,5175
file12862,5463
file12737,2543
file12859,4142
file12735,934
file12864,434
file12723,8909
file12863,3584
file12902,12991
file12725,4797
file12845,6330
file12853,5162
file12742,1273
file12744,1159
file12899,13966
file12739,3678
file12818,13298
file12946,272
file12738,4656
file13659,814
file12865,7264
file12751,1374
file12749,234
file12866,1355
file13663,156
file12752,91
file12748,3443
file12830,15228
file12802,8317
file12843,18811
file12754,267
file12945,13926
file12757,441
file12761,2148
file12959,1225
file13606,155
file12949,2567
file12948,784
file13683,1458
file12839,20225
file12812,14073
file12756,5275
file12745,8533
file12956,9366
file12954,2251
file12755,8745
file12958,424
file12952,3289
file12953,1035
file12747,4705
file12957,2323
file13614,1733
file12750,5806
file12759,535
file12951,1896
file13682,1153
file13688,2066
file13615,997
file13695,521
file13681,2537
file13629,1079
file12760,1878
file12867,3134
file12947,25227
file12753,7226
file13691,249
file12960,4827
file13684,1609
file13709,103
file13617,4979
file13707,877
file13604,3455
file13625,566
file13706,1159
file12763,1049
file13686,2094
file12762,835
file12765,1005
file13711,765
file12746,10249
file13618,5462
file12851,27706
file13630,1136
file12741,8701
file13658,107
file13635,4012
file12955,39609
file13649,1222
file13605,1136
file13660,56
file13603,324
file12829,42449
file13611,371
file12758,3559
file13646,1753
file13712,210
file12836,26753
file13694,1500
file13693,4289
file13700,2855
file12871,1307
file13661,462
file13607,1815
file13644,982
file12872,392
file13690,2578
file13698,1763
file12875,5756
file13620,358
file12950,34829
file12770,258
file13623,373
file13701,2847
file13626,615
file13705,550
file13639,934
file13689,762
file12766,698
file12877,1209
file12771,1566
file12769,954
file12767,1472
file12868,570
file13652,473
file12874,2162
file13647,759
file12873,3662
file12869,1471
file12879,1631
file12878,376
file12774,1213
file13703,3189
file13710,6328
file12870,7538
file12772,1221
file13616,1120
file12773,1273
file13613,2128
file13697,4463
file13640,2595
file12778,369
file13609,4804
file12777,943
file13632,2049
file13724,873
file12780,2805
file13654,8061
file13657,1155
file12764,9070
file13651,3423
file13619,4239
file13662,561
file13631,3591
file13717,1272
file13714,1239
file12880,9574
file13696,11757
file13699,10118
file13656,2868
file12901,65551
file12768,22455
file13633,6930
file12782,919
file13720,2592
file13634,7429
file13721,766
file13610,18410
file13642,2809
file13723,1718
file13664,2152
file13624,6620
file13637,2882
file13648,17250
file13716,2552
file12808,93455
file13727,80
file13708,10081
file13621,6477
file12814,58126
file13718,6540
file13653,9272
file12786,973
file13638,7124
file13719,3610
file12785,775
file13665,806
file12781,2737
file12784,5059
file13666,1502
file13655,11062
file12876,28182
file13728,2029
file13692,11388
file13622,16961
file13702,12696
file13612,13841
